Country Code,Country Name,current year(2020),avg 5years
TSA,South Asia (IDA & IBRD),step1,step1
TSS,Sub-Saharan Africa (IDA & IBRD countries),step1,step1
TUN,Tunisia,step4,step4
TUR,Turkey,step4,step4
TZA,Tanzania,step1,step1
UGA,Uganda,step1,step1
UKR,Ukraine,step4,step2
UMC,Upper middle income,step4,step4
URY,Uruguay,step4,step4
UZB,Uzbekistan,step1,step1
VCT,St. Vincent and the Grenadines,step4,step4
VNM,Vietnam,step2,step2
WSM,Samoa,step4,step4
XKX,Kosovo,step2,step2
ZAF,South Africa,step4,step4
ZMB,Zambia,step4,step4
ZWE,Zimbabwe,step3,step4
